codigo_dane,nombre_municipio,nombre_departamento,provincia
91263,El Encanto,AMAZONAS,AMAZONAS
91405,La Chorrera,AMAZONAS,AMAZONAS
91407,La Pedrera,AMAZONAS,AMAZONAS
91430,La Victoria,AMAZONAS,AMAZONAS
91001,Leticia,AMAZONAS,AMAZONAS
91460,Miriti - Paraná,AMAZONAS,AMAZONAS
91530,Puerto Alegria,AMAZONAS,AMAZONAS
91536,Puerto Arica,AMAZONAS,AMAZONAS
91540,Puerto Nariño,AMAZONAS,AMAZONAS
91669,Puerto Santander,AMAZONAS,AMAZONAS
91798,Tarapacá,AMAZONAS,AMAZONAS
05120,Cáceres,ANTIOQUIA,BAJO CAUCA
05154,Caucasia,ANTIOQUIA,BAJO CAUCA
05250,El Bagre,ANTIOQUIA,BAJO CAUCA
05495,Nechí,ANTIOQUIA,BAJO CAUCA
05790,Tarazá,ANTIOQUIA,BAJO CAUCA
05895,Zaragoza,ANTIOQUIA,BAJO CAUCA
05142,Caracolí,ANTIOQUIA,MAGDALENA MEDIO
05425,Maceo,ANTIOQUIA,MAGDALENA MEDIO
05579,Puerto Berrio,ANTIOQUIA,MAGDALENA MEDIO
05585,Puerto Nare,ANTIOQUIA,MAGDALENA MEDIO
05591,Puerto Triunfo,ANTIOQUIA,MAGDALENA MEDIO
05893,Yondó,ANTIOQUIA,MAGDALENA MEDIO
05031,Amalfi,ANTIOQUIA,NORDESTE
05040,Anorí,ANTIOQUIA,NORDESTE
05190,Cisneros,ANTIOQUIA,NORDESTE
05604,Remedios,ANTIOQUIA,NORDESTE
05670,San Roque,ANTIOQUIA,NORDESTE
05690,Santo Domingo,ANTIOQUIA,NORDESTE
05736,Segovia,ANTIOQUIA,NORDESTE
05858,Vegachí,ANTIOQUIA,NORDESTE
05885,Yalí,ANTIOQUIA,NORDESTE
05890,Yolombó,ANTIOQUIA,NORDESTE
05038,Angostura,ANTIOQUIA,NORTE
05086,Belmira,ANTIOQUIA,NORTE
05107,Briceño,ANTIOQUIA,NORTE
05134,Campamento,ANTIOQUIA,NORTE
05150,Carolina,ANTIOQUIA,NORTE
05237,Don Matias,ANTIOQUIA,NORTE
05264,Entrerrios,ANTIOQUIA,NORTE
05310,Gómez Plata,ANTIOQUIA,NORTE
05315,Guadalupe,ANTIOQUIA,NORTE
05361,Ituango,ANTIOQUIA,NORTE
05647,San Andrés,ANTIOQUIA,NORTE
05658,San José De La Montaña,ANTIOQUIA,NORTE
05664,San Pedro,ANTIOQUIA,NORTE
05686,Santa Rosa De Osos,ANTIOQUIA,NORTE
05819,Toledo,ANTIOQUIA,NORTE
05854,Valdivia,ANTIOQUIA,NORTE
05887,Yarumal,ANTIOQUIA,NORTE
05004,Abriaquí,ANTIOQUIA,OCCIDENTE
05044,Anza,ANTIOQUIA,OCCIDENTE
05059,Armenia,ANTIOQUIA,OCCIDENTE
05113,Buriticá,ANTIOQUIA,OCCIDENTE
05138,Cañasgordas,ANTIOQUIA,OCCIDENTE
05234,Dabeiba,ANTIOQUIA,OCCIDENTE
05240,Ebéjico,ANTIOQUIA,OCCIDENTE
05284,Frontino,ANTIOQUIA,OCCIDENTE
05306,Giraldo,ANTIOQUIA,OCCIDENTE
05347,Heliconia,ANTIOQUIA,OCCIDENTE
05411,Liborina,ANTIOQUIA,OCCIDENTE
05501,Olaya,ANTIOQUIA,OCCIDENTE
05543,Peque,ANTIOQUIA,OCCIDENTE
05628,Sabanalarga,ANTIOQUIA,OCCIDENTE
05656,San Jerónimo,ANTIOQUIA,OCCIDENTE
05042,Santafé De Antioquia,ANTIOQUIA,OCCIDENTE
05761,Sopetran,ANTIOQUIA,OCCIDENTE
05842,Uramita,ANTIOQUIA,OCCIDENTE
05002,Abejorral,ANTIOQUIA,ORIENTE
05021,Alejandría,ANTIOQUIA,ORIENTE
05055,Argelia,ANTIOQUIA,ORIENTE
05148,Carmen De Viboral,ANTIOQUIA,ORIENTE
05197,Cocorná,ANTIOQUIA,ORIENTE
05206,Concepción,ANTIOQUIA,ORIENTE
05313,Granada,ANTIOQUIA,ORIENTE
05318,Guarne,ANTIOQUIA,ORIENTE
05321,Guatape,ANTIOQUIA,ORIENTE
05376,La Ceja,ANTIOQUIA,ORIENTE
05400,La Unión,ANTIOQUIA,ORIENTE
05440,Marinilla,ANTIOQUIA,ORIENTE
05483,Nariño,ANTIOQUIA,ORIENTE
05541,Peñol,ANTIOQUIA,ORIENTE
05607,Retiro,ANTIOQUIA,ORIENTE
05615,Rionegro,ANTIOQUIA,ORIENTE
05649,San Carlos,ANTIOQUIA,ORIENTE
05652,San Francisco,ANTIOQUIA,ORIENTE
05660,San Luis,ANTIOQUIA,ORIENTE
05667,San Rafael,ANTIOQUIA,ORIENTE
05674,San Vicente,ANTIOQUIA,ORIENTE
05697,Santuario,ANTIOQUIA,ORIENTE
05756,Sonson,ANTIOQUIA,ORIENTE
05030,Amaga,ANTIOQUIA,SUROESTE
05034,Andes,ANTIOQUIA,SUROESTE
05036,Angelopolis,ANTIOQUIA,SUROESTE
05091,Betania,ANTIOQUIA,SUROESTE
05093,Betulia,ANTIOQUIA,SUROESTE
05125,Caicedo,ANTIOQUIA,SUROESTE
05145,Caramanta,ANTIOQUIA,SUROESTE
05101,Ciudad Bolívar,ANTIOQUIA,SUROESTE
05209,Concordia,ANTIOQUIA,SUROESTE
05282,Fredonia,ANTIOQUIA,SUROESTE
05353,Hispania,ANTIOQUIA,SUROESTE
05364,Jardín,ANTIOQUIA,SUROESTE
05368,Jericó,ANTIOQUIA,SUROESTE
05390,La Pintada,ANTIOQUIA,SUROESTE
05467,Montebello,ANTIOQUIA,SUROESTE
05576,Pueblorrico,ANTIOQUIA,SUROESTE
05642,Salgar,ANTIOQUIA,SUROESTE
05679,Santa Barbara,ANTIOQUIA,SUROESTE
05789,Támesis,ANTIOQUIA,SUROESTE
05792,Tarso,ANTIOQUIA,SUROESTE
05809,Titiribí,ANTIOQUIA,SUROESTE
05847,Urrao,ANTIOQUIA,SUROESTE
05856,Valparaiso,ANTIOQUIA,SUROESTE
05861,Venecia,ANTIOQUIA,SUROESTE
05045,Apartadó,ANTIOQUIA,URABA
05051,Arboletes,ANTIOQUIA,URABA
05147,Carepa,ANTIOQUIA,URABA
05172,Chigorodó,ANTIOQUIA,URABA
05475,Murindó,ANTIOQUIA,URABA
05480,Mutata,ANTIOQUIA,URABA
05490,Necoclí,ANTIOQUIA,URABA
05659,San Juan De Uraba,ANTIOQUIA,URABA
05665,San Pedro De Uraba,ANTIOQUIA,URABA
05837,Turbo,ANTIOQUIA,URABA
05873,Vigía Del Fuerte,ANTIOQUIA,URABA
05079,Barbosa,ANTIOQUIA,VALLE DEL ABURRA
05088,Bello,ANTIOQUIA,VALLE DEL ABURRA
05129,Caldas,ANTIOQUIA,VALLE DEL ABURRA
05212,Copacabana,ANTIOQUIA,VALLE DEL ABURRA
05266,Envigado,ANTIOQUIA,VALLE DEL ABURRA
05308,Girardota,ANTIOQUIA,VALLE DEL ABURRA
05360,Itagui,ANTIOQUIA,VALLE DEL ABURRA
05380,La Estrella,ANTIOQUIA,VALLE DEL ABURRA
05001,Medellín,ANTIOQUIA,VALLE DEL ABURRA
05631,Sabaneta,ANTIOQUIA,VALLE DEL ABURRA
81001,Arauca,ARAUCA,ARAUCA
81065,Arauquita,ARAUCA,ARAUCA
81220,Cravo Norte,ARAUCA,ARAUCA
81300,Fortul,ARAUCA,ARAUCA
81591,Puerto Rondón,ARAUCA,ARAUCA
81736,Saravena,ARAUCA,ARAUCA
81794,Tame,ARAUCA,ARAUCA
88564,Providencia Y Santa Catalina,ARCHIPIELAGO DE SAN ANDRES,ARCHIPIELAGO DE SAN ANDRES
88001,San Andres,ARCHIPIELAGO DE SAN ANDRES,ARCHIPIELAGO DE SAN ANDRES
08001,Barranquilla,ATLÁNTICO,NORTE
08296,Galapa,ATLÁNTICO,NORTE
08433,Malambo,ATLÁNTICO,NORTE
08573,Puerto Colombia,ATLÁNTICO,NORTE
08758,Soledad,ATLÁNTICO,NORTE
08137,Campo De La Cruz,ATLÁNTICO,CENTRO ORIENTE
08141,Candelaria,ATLÁNTICO,CENTRO ORIENTE
08421,Luruaco,ATLÁNTICO,CENTRO ORIENTE
08436,Manati,ATLÁNTICO,CENTRO ORIENTE
08606,Repelon,ATLÁNTICO,CENTRO ORIENTE
08675,Santa Lucia,ATLÁNTICO,CENTRO ORIENTE
08770,Suan,ATLÁNTICO,CENTRO ORIENTE
08078,Baranoa,ATLÁNTICO,OCCIDENTAL
08520,Palmar De Varela,ATLÁNTICO,OCCIDENTAL
08558,Polonuevo,ATLÁNTICO,OCCIDENTAL
08560,Ponedera,ATLÁNTICO,OCCIDENTAL
08634,Sabanagrande,ATLÁNTICO,OCCIDENTAL
08638,Sabanalarga,ATLÁNTICO,OCCIDENTAL
08685,Santo Tomas,ATLÁNTICO,OCCIDENTAL
08372,Juan De Acosta,ATLÁNTICO,SUR
08549,Piojó,ATLÁNTICO,SUR
08832,Tubara,ATLÁNTICO,SUR
08849,Usiacuri,ATLÁNTICO,SUR
11001,Bogota D.C.,BOGOTÁ D.C.,BOGOTA
13188,Cicuco,BOLIVAR,DEPRESION MOMPOSINA
13300,Hatillo De Loba,BOLIVAR,DEPRESION MOMPOSINA
13440,Margarita,BOLIVAR,DEPRESION MOMPOSINA
13468,Mompós,BOLIVAR,DEPRESION MOMPOSINA
